Timestamp,RangeMilliMeter
6063000,27
6074000,42
6085000,41
6095000,41
6106000,33
6117000,33
6127000,33
6138000,33
6150000,33
6161000,41
6173000,41
6184000,29
6195000,41
6206000,41
6217000,49
6228000,49
6239000,40
6250000,50
6262000,50
6273000,48
6284000,38
6295000,38
6307000,41
6317000,41
6328000,31
6339000,35
6351000,35
6362000,42
6373000,42
6384000,27
6394000,35
6405000,35
6417000,35
6428000,28
6440000,28
6450000,40
6462000,40
6473000,45
6484000,37
6495000,37
6507000,35
6518000,35
6529000,40
6540000,34
6551000,34
6562000,49
6573000,28
6586000,28
6597000,29
6608000,29
6620000,29
6631000,36
6643000,36
6654000,38
6665000,35
6676000,35
6687000,31
6698000,31
6709000,45
6720000,28
6731000,28
6742000,33
6753000,33
6763000,38
6775000,29
6786000,29
6798000,34
6810000,27
6822000,27
6834000,37
6844000,39
6856000,39
6867000,44
6879000,44
6891000,42
6902000,37
6914000,37
6925000,30
6936000,44
6947000,44
6959000,43
6970000,43
6981000,33
6993000,37
7004000,37
7015000,28
7026000,30
7038000,30
7049000,48
7059000,48
7069000,47
7081000,51
7092000,51
7103000,38
7114000,38
7125000,39
7137000,38
7148000,38
7159000,41
7171000,40
7182000,40
7194000,35
7205000,35
7216000,34
7228000,21
7240000,21
7251000,39
7261000,28
7272000,28
7283000,38
7295000,38
7306000,17
7317000,30
7329000,30
7340000,20
7351000,24
7362000,24
7372000,27
7383000,27
7394000,31
7406000,32
7416000,32
7427000,34
7439000,34
7450000,24
7461000,25
7472000,25
7482000,23
7493000,23
7505000,31
7517000,32
7529000,32
7540000,31
7551000,20
7563000,20
7575000,37
7586000,38
7597000,38
7607000,31
7619000,31
7630000,13
7642000,25
7653000,25
7665000,18
7676000,11
7687000,11
7699000,24
7711000,24
7723000,19
7734000,33
7745000,33
7756000,25
7767000,13
7778000,13
7790000,29
7801000,29
7811000,21
7822000,7
7833000,7
7844000,5
7855000,5
7866000,5
7877000,10
7888000,10
7899000,15
7910000,25
7921000,25
7932000,32
7944000,32
7955000,68
7966000,89
7978000,89
7988000,148
7999000,148
8011000,193
8022000,212
8033000,212
8045000,247
8056000,247
8066000,328
8078000,485
8089000,485
8099000,800
8110000,800
8121000,800
8133000,800
8144000,800
8156000,800
8167000,800
8179000,800
8189000,800
8201000,2500
8211000,2500
8222000,2500
8233000,2500
8245000,2500
8256000,2500
8267000,2500
8278000,2500
8289000,2500
8299000,2500
8310000,2500
8321000,2500
8332000,2500
8344000,2500
8356000,2500
8366000,2500
8378000,2500
8388000,2500
8399000,2500
8411000,2500
8422000,2500
8433000,2500
8443000,2500
8454000,2500
8465000,2500
8477000,2500
8487000,2500
8498000,2500
8510000,2500
8521000,2500
8532000,2500
8543000,2500
8553000,2500
8565000,2500
8575000,2500
8586000,2500
8597000,2500
8608000,2500
8619000,2500
8630000,2500
8642000,2500
8654000,2500
8664000,2500
8674000,2500
8685000,2500
8696000,2500
8707000,2500
8718000,2500
8729000,2500
8741000,2500
8752000,2500
8763000,2500
8774000,2500
8785000,2500
8796000,2500
8807000,2500
8818000,2500
8830000,2500
8841000,2500
8852000,2500
8863000,2500
8874000,2500
8885000,2500
8896000,2500
8907000,2500
8918000,2500
8929000,2500
8940000,2500
8951000,2500
8963000,2500
8975000,2500
8987000,2500
8997000,2500
9008000,2500
9019000,2500
9030000,2500
9040000,2500
9050000,2500
9061000,2500
9072000,2500
9083000,2500
9094000,2500
9106000,2500
9117000,2500
9127000,2500
9138000,2500
9149000,2500
9161000,2500
9171000,2500
9182000,2500
9194000,2500
9204000,40
9216000,40
9228000,241
9240000,240
9251000,240
9262000,305
9273000,238
9283000,238
9294000,258
9306000,258
9316000,248
9328000,317
9339000,317
9350000,220
9361000,220
9372000,257
9383000,301
9394000,301
9406000,269
9417000,269
9429000,234
9441000,289
9452000,289
9464000,247
9475000,250
9486000,250
9497000,250
9508000,250
9518000,250
9530000,250
9542000,250
9553000,250
9565000,250
9577000,250
9588000,250
9598000,2500
9610000,2500
9622000,2500
9633000,2500
9644000,2500
9655000,236
9666000,236
9677000,236
9688000,236
9700000,236
9711000,236
9723000,236
9734000,236
9745000,236
9756000,2500
9767000,2500
9778000,2500
9790000,2500
9801000,257
9812000,257
9823000,257
9835000,257
9845000,257
9857000,244
9868000,244
9879000,257
9890000,257
9900000,249
9911000,249
9922000,249
9933000,283
9944000,283
9955000,207
9966000,283
9977000,283
9988000,201
9999000,201
10010000,253
10020000,230
10031000,230
10042000,288
10052000,288
10063000,180
10074000,244
10085000,244
10096000,346
10108000,346
10120000,240
10131000,166
10143000,166
10155000,306
10167000,220
10178000,220
10190000,220
10201000,188
10211000,188
10223000,188
10234000,188
10244000,188
10255000,188
10266000,205
10278000,205
10289000,205
10300000,205
10312000,205
10323000,205
10333000,205
10344000,205
10355000,205
10366000,161
10377000,161
10388000,175
10399000,175
10411000,263
10423000,319
10435000,319
10447000,253
10458000,253
10469000,253
10480000,235
10492000,235
10503000,217
10514000,217
10526000,217
10537000,224
10549000,291
10560000,291
10572000,276
10583000,276
10594000,255
10606000,247
10618000,247
10628000,263
10640000,318
10652000,318
10662000,277
10673000,277
10685000,219
10697000,267
10707000,267
10717000,284
10728000,284
10740000,247
10752000,241
10764000,241
10776000,267
10787000,252
10798000,252
10810000,253
10821000,253
10833000,276
10844000,311
10855000,311
10866000,285
10877000,285
10888000,212
10900000,251
10911000,251
10922000,283
10933000,257
10944000,257
10955000,274
10966000,274
10977000,240
10987000,263
10998000,263
11010000,260
11021000,260
11032000,267
11044000,265
11055000,265
11065000,235
11077000,235
11088000,233
11098000,268
11109000,268
11119000,243
11130000,243
11141000,241
11153000,188
11164000,188
11176000,165
11186000,165
11197000,210
11208000,233
11219000,233
11229000,164
11240000,164
11251000,55
11263000,271
11274000,271
11285000,209
11297000,209
11308000,63
11320000,63
11331000,63
11343000,137
